key,smiles,HOMO_exp,LUMO_exp,HOMO_calc,LUMO_calc
10,COC(C=C1)=CC=C1C2=C3C(C=C(C=CC=C4)C4=C3)=C(C5=CC=C(OC)C=C5)C6=CC=CC=C62,-5.3100780662494,-2.750040411598,-4.89985203411,-2.286597615918
11,COC(C=C1)=CC=C1C2=C3C(C=C(C=C(C)S4)C4=C3)=C(C5=CC=C(OC)C=C5)C6=CC=CC=C62,-5.1900762820546,-2.56003762744,-4.89985203411,-1.9327193998488
12,COC(C=C1)=CC=C1C2=C3C(C=C(C=C(C)S4)C4=C3)=C(C5=CC=C(OC)C=C5)C6=CC7=C(C=CC=C7)C=C62,-4.9800732005308,-2.7600405738866,-4.6548594187988,-2.6119202976728
13,COC(C=C1)=CC=C1C2=C3C(C=C(SC(C)=C4)C4=C3)=C(C#CC5=CC=CC=C5)C6=CC7=C(SC(C)=C7)C=C62,-5.0300739303396,-2.7600405738866,-4.7437056194092,-2.3085575694662
14,COC(C=C1)=CC=C1C2=C3C(C=C(SC(C)=C4)C4=C3)=C(C#CC5=CC=CC=C5)C6=CC=CC=C62,-5.2400770390748,-2.7100398440778,-4.9708814889362,-2.242913522814
15,COC(C=C1)=CC=C1C2=C3C(C=C(C=CC=C4)C4=C3)=C(C5=CC=C(OC)C=C5)C6=CC7=C(C=CC=C7)C=C62,-4.9800732005308,-2.9600435203332,-4.6548594187988,-2.5860330043968
17,COC(C=C1)=CC=C1C2=C3C(C=C(C=CC=C4)C4=C3)=C(C#CC5=CC=CC=C5)C6=CC=CC=C62,-5.2300768767862,-2.9300430606788,-4.9431013162534,-2.537949317718
19,COC(C=C1)=CC=C1C#CC2=C3C=C4C(C=CC=C4)=CC3=C(C#CC5=CC=C(OC)C=C5)C6=CC7=C(C=CC=C7)C=C26,-4.9900733628194,-3.3100486562062,-4.6743399784246,-2.8341219504912
20,COC(C=C1)=CC=C1C2=C3C(C=C4C(C=CC=C4)=C3)=C(C#CC5=CC=CC=C5)C6=CC(C=CC=C7)=C7C=C62,-5.0300739303396,-3.1500463044912,-4.7313135206378,-2.7649917697508
21,COC(C=C1)=CC=C1C#CC2=C3C=CC=CC3=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC=C25,-5.3000779039608,-2.8000411686182,-5.158033933367,-2.320677173278
23,COC(C=C1)=CC=C1C#CC2=C3C=C4C(C=C(C)S4)=CC3=C(C#CC5=CC=C(OC)C=C5)C6=CC=CC=C26,-5.1700760119002,-2.9200429256016,-4.7654239629368,-2.4393981168748
24,COC(C=C1)=CC=C1C#CC2=C3C=C4C(C=CC=C4)=CC3=C(C#CC5=CC=C(OC)C=C5)C6=CC=CC=C26,-5.1700760119002,-3.1000455746824,-4.8861089437514,-2.6342746260412
26,COC(C=C1)=CC=C1C#CC2=C3C=C4C(C=C(C)S4)=CC3=C(C#CC5=CC=C(OC)C=C5)C6=CC7=C(C=CC=C7)C=C26,-4.9900733628194,-3.140046169414,-4.6031824395386,-2.6799250149092
28,COC1=C(C=C2C3=CC=C(/C=C(C(O)=O)\C#N)S3)C4=C(C2=CC=C5)C5=C(OC)C6=CC(C7=CC=C(N(C8=CC=C(C)C=C8)C9=CC=C(C)C=C9)C=C7)=C(C=CC=C%101)C%10=C64,-5.060074389994,-2.500036762554,-5.0879548094744,-2.9394050067918
29,O=C(O)/C(C#N)=C/C1=CC=C(C2=C(C=C3C4=CC=C(OC)C=C4)C5=C(C3=CC=C6)C6=C(C7=CC=C(/C=C(C(O)=O)\C#N)S7)C8=CC(C9=CC=C(OC)C=C9)=C(C=CC=C%102)C%10=C85)S1,-5.3000779039608,-2.8600420335042,-5.4502898388584,-3.063852480673
30,O=C(O)/C(C#N)=C/C1=CC=C(C2=C3C(C4=CC=C3)=C5C6=C7C(C=CC=C7C(C8=CC=C(N(C9=CC=C(C)C=C9)C%10=CC=C(C)C=C%10)C=C8)=C5C=C4C%11=CC=C(OC)C=C%11)=C(C%12=CC=C(OC)C=C%12)C=C62)S1,-5.1000749575142,-2.6100383572488,-5.073990980239,-2.8151106514584
31,O=C(C1=C(C2=C34)C5=C6C=CC=C5C(C#CC7=CC=C(C)S7)=C1)C3=CC=CC4=C(C#CC8=CC=C(C)S8)C=C2C6=O,-5.9500874731094,-4.1400608472242,-5.4581730086498,-3.375453623498
32,O=C(C1=C(C2=C34)C5=C6C=CC=C5C(C#CC7=CC=C(C)C=C7)=C1)C3=CC=CC4=C(C#CC8=CC=C(C)C=C8)C=C2C6=O,-6.1200899599016,-4.1500610095128,-5.6758159356262,-3.375453623498
33,CC(C=C1)=CC=C1C#CC2=CC3=C(C#CC4=CC=C(C)C=C4)C5=CC=CC6=C(C#CC7=CC=C(C)C=C7)C=C8C(C#CC9=CC=C(C)C=C9)=C%10C=CC=C2C%10=C3C8=C56,-5.3500786337696,-3.5500521973844,-4.8726306203148,-2.8011134610466
34,CC1=CC=C(C2=CC3=C(C4=CC=C(C)S4)C5=CC=CC6=C(C7=CC=C(C)S7)C=C8C(C9=CC=C(C)S9)=C%10C=CC=C2C%10=C3C8=C56)S1,-5.4200796609442,-3.2500477641088,-4.9757222609392,-2.405497556104
35,CC1=CC=C(C#CC2=C3C4=C5C(C(C#CC6=CC=C(C)S6)=C3)=CC=CC5=C(C#CC7=CC=C(C)S7)C8=CC(C#CC9=CC=C(C)S9)=C%10C(C2=CC=C%10)=C48)S1,-5.3100780662494,-3.6000529271932,-4.7637450195568,-2.8038042059128
36,CC1=CC=C(C2=CC3=C(C#CC4=CC=C(C)S4)C5=CC=CC6=C(C7=CC=C(C)S7)C=C8C(C#CC9=CC=C(C)S9)=C%10C=CC=C2C%10=C3C8=C56)S1,-5.2300768767862,-3.52005173773,-4.7450299438244,-2.72214001895
37,CSC1=CC=C(C#CC2=CC3=C(C#CC4=CC=C(S(=O)(C)=O)S4)C5=CC=CC6=C(C#CC7=CC=C(SC)S7)C=C8C(C#CC9=CC=C(S(=O)(C)=O)S9)=C%10C=CC=C2C%10=C3C8=C56)S1,-5.5600817425048,-3.7200546841766,-5.1814276283698,-3.2712233762634
39,C[Si](C)(C)C#CC1=C2C=CC=C(C2=C34)C(C#CC5=CC=C(C6=C7C(C(N6C)=O)=C(C8=CC=CS8)N(C)C7=O)S5)=CC3=C(C#C[Si](C)(C)C)C9=CC=CC%10=C(C#CC%11=CC=C(C%12=C%13C(C(N%12C)=O)=C(C%14=CC=CS%14)N(C)C%13=O)S%11)C=C1C4=C9%10,-5.3900792285012,-3.6400534947134,-5.0904018218308,-2.885468420087
40,O=C(N(C)C(C1=CC=CS1)=C23)C2=C(C4=CC=C(C#CC5=C6C7=C8C(C(C#C[Si](C)(C)C)=C6)=CC=CC8=C(C#CC9=CC=C(C%10=C%11C(C(N%10C)=O)=C(C%12=CC=CS%12)N(C)C%11=O)S9)C%13=CC(C#C[Si](C)(C)C)=C%14C(C5=CC=C%14)=C7%13)S4)N(C)C3=O,-5.4000793907898,-3.7500551166196,-5.0902182537264,-2.9944152192836
TBT,C12=C(C=CC=C2)C3=C4C5=C1C(C(C=CC=C6)=C6S7)=C7C(C8=C9C%10=C(C=CC=C%10)S8)=C5C%11=C9C(C=CC=C%12)=C%12C(C%13=C%14SC%15=C%13C=CC=C%15)=C%11C4=C%14C%16=C3C%17=C(C=CC=C%17)S%16,-5.4000793907898,-2.9000426282358,-5.4238639775536,-2.518796165657
TFT,C12=C(C=CC=C2)C3=C4C5=C1C(C(C=CC=C6)=C6O7)=C7C(C8=C9C%10=C(C=CC=C%10)O8)=C5C%11=C9C(C=CC=C%12)=C%12C(C%13=C%14OC%15=C%13C=CC=C%15)=C%11C4=C%14C%16=C3C%17=C(C=CC=C%17)O%16,-5.3000779039608,-2.6000382221716,-5.4301249125226,-2.4515592997058
cHBC-Cl8,ClC1=C2C(C3=C(C4=C5C6=C78)C7=C2C9=C(C=CC=C9)C8=C%10C(C=CC=C%10)=C6C%11=C(C(Cl)=C(Cl)C(Cl)=C%11Cl)C5=C%12C(C=CC=C%12)=C4C%13=C3C=CC=C%13)=C(Cl)C(Cl)=C1Cl,-6.2000911493648,-3.1000455746824,-5.9141214038102,-2.7964544339842
cHBC-Cl12,ClC1=CC2=C(C3=C4C(Cl)=C(Cl)C(Cl)=C3)C5=C6C(C(C(C=CC=C7)=C7C6=C2C(Cl)=C1Cl)=C8C(C=C(Cl)C(Cl)=C8Cl)=C9C%10=C%11C(Cl)=C(Cl)C(Cl)=C%10)=C9C%12=C%11C%13=CC=CC=C%13C4=C%125,-6.3000926089824,-3.4000499807466,-6.026545765504,-2.9227617254212
cHBC-F12,FC1=CC2=C(C3=C4C(F)=C(F)C(F)=C3)C5=C6C(C(C(C=CC=C7)=C7C6=C2C(F)=C1F)=C8C(C=C(F)C(F)=C8F)=C9C%10=C%11C(F)=C(F)C(F)=C%10)=C9C%12=C%11C%13=C(C=CC=C%13)C4=C%125,-6.0000882029182,-2.9000426282358,-5.9707419053198,-2.8571581693322
cHBC-F8,FC1=C(F)C(F)=C(F)C2=C1C3=C(C=CC=C4)C4=C(C5=C6C=CC=C5)C7=C3C(C2=C8C(C=CC=C8)=C9C%10=C%11C=CC=C%10)=C9C%12=C%11C%13=C(C(F)=C(F)C(F)=C%13F)C6=C%127,-5.700083796854,-2.7000396817892,-5.8912554194876,-2.686207773421
cHBC-F8-Cl4,ClC1=CC2=C3C4=C(C(F)=C(F)C(F)=C4F)C5=C6C(C=CC(Cl)=C6)=C7C8=C(C=C(Cl)C=C8)C9=C(C7=C5C3=C%10C(C%11=C%12C=C(Cl)C=C%11)=C2C=C1)C%10=C%12C%13=C(F)C(F)=C(F)C(F)=C%139,-6.0000882029182,-3.0000440878534,-6.015385009794,-2.8830184961108
cHBC-F8-Cl8,FC1=CC2=C(C3=C4C(F)=C(F)C(F)=C3)C5=C6C(C(C(C(Cl)=C(Cl)C(Cl)=C7Cl)=C7C6=C2C(F)=C1F)=C8C(C=C(F)C(F)=C8F)=C9C%10=C%11C(F)=C(F)C(F)=C%10)=C9C%12=C%11C%13=C(Cl)C(Cl)=C(Cl)C(Cl)=C%13C4=C%125,-6.3000926089824,-3.1000455746824,-6.1585695734302,-3.1048729042538
cHBC-F8-Cl12,ClC1=CC2=C(C3=C4C(Cl)=C(Cl)C(Cl)=C3)C5=C6C(C(C(C(F)=C(F)C(F)=C7F)=C7C6=C2C(Cl)=C1Cl)=C8C(C=C(Cl)C(Cl)=C8Cl)=C9C%10=C%11C(Cl)=C(Cl)C(Cl)=C%10)=C9C%12=C%11C%13=C(F)C(F)=C(F)C(F)=C%13C4=C%125,-6.6000970150466,-3.4000499807466,-6.2709939623354,-3.2396188317904
